ds,yhat
2014-01-01,82.06995813754448
2014-01-02,63.045631488678914
2014-01-03,71.90553310654877
2014-01-04,120.99942019426781
2014-01-05,73.83809152080603
2014-01-06,44.51045358844538
2014-01-07,41.63136106957935
2014-01-08,66.12250076608501
2014-01-09,51.75398332403135
2014-01-10,65.58986805800117
2014-01-11,119.8677552889448
2014-01-12,77.98204373562089
2014-01-13,53.903536065869105
2014-01-14,56.129836617496366
2014-01-15,85.46875484114707
2014-01-16,75.58232443663849
2014-01-18,151.17340099594867
2014-01-19,112.11530746106939
2014-01-20,90.16696958013122
2014-01-21,93.77672734158327
2014-01-22,123.71897952990945
2014-01-23,113.63881182208873
2014-01-24,130.500060368903
2014-01-25,186.46689582270858
2014-01-26,144.88848828615073
2014-01-27,119.71941221057364
2014-01-28,119.4702245185228
2014-01-29,144.9904321357007
2014-01-30,130.0114746641332
2014-01-31,141.59292426328943
2014-02-01,192.0020293754108
2014-02-02,144.69620757468365
2014-02-03,113.74119338784041
2014-02-04,107.75932255819251
2014-02-05,127.71021682120204
2014-02-06,107.43154214994064
2014-02-07,114.08308773882261
2014-02-08,160.024334759876
2014-02-09,108.7951589018432
2014-02-12,83.95285877880586
2014-02-13,62.50831833860259
2014-02-14,68.75833127028298
2014-02-15,115.0625930582442
2014-02-16,64.94625738293611
2014-02-17,32.516966259136005
2014-02-18,26.412550921598836
2014-02-19,47.58167292037665
2014-02-20,29.82507246583556
2014-02-21,40.24065477335876
2014-02-22,91.1025566941805
2014-02-23,45.84380138624858
2014-02-24,18.4752364557895
2014-02-25,17.535213714217477
2014-02-26,43.87223972976076
2014-02-27,31.188223865565327
2014-02-28,46.48551493801395
2014-03-01,101.94783064792512
2014-03-02,60.92465161251776
2014-03-03,37.35174236203293
2014-03-05,68.77042901267416
2014-03-06,58.216062950428466
2014-03-07,75.01198230214283
2014-03-08,131.32554676687033
2014-03-09,90.50319217830541
2014-03-10,66.49085870289517
2014-03-11,67.7847108870195
2014-03-12,95.21436246388616
2014-03-13,82.48622560813206
2014-03-14,96.63017809051213
2014-03-16,105.65482016595944
2014-03-17,77.98131969210748
2014-03-18,75.43939734154968
2014-03-19,98.94530438858908
2014-03-20,82.29284799715134
2014-03-21,92.59824489961221
2014-03-22,142.17844119815075
2014-03-23,94.53252592850865
2014-03-24,63.758963558674175
2014-03-25,58.50314250303457
2014-03-26,79.73751611661956
2014-03-27,61.30201749120289
2014-03-28,70.3480000181539
2014-03-29,119.21587365308156
2014-03-30,71.41607808188523
2014-03-31,41.04612671025629
2014-04-01,36.73822231133438
2014-04-02,59.439719451367814
2014-04-03,42.9541085844335
2014-04-04,54.38576235907253
2014-04-05,106.01859785078771
2014-04-06,61.29827520138606
2014-04-07,34.25064182189254
2014-04-08,33.43089407487642
2014-04-09,59.70570077356315
2014-04-10,46.79592843013195
2014-04-11,61.72317325484654
2014-04-12,116.69021645254034
2014-04-13,75.06498583456009
2014-04-14,50.80069573852721
2014-04-15,52.386601655267356
2014-04-16,80.63157902733494
2014-04-17,69.20813557536293
2014-04-18,85.10003362161505
2014-04-19,140.48361485206553
2014-04-20,98.71239081234225
2014-04-21,73.73755634500345
2014-04-22,74.05885287678026
2014-04-23,100.5079870901395
2014-04-24,86.79221610312982
2014-04-25,99.94128312581935
2014-04-26,152.1878091580731
2014-04-27,106.95072256073338
2014-04-28,78.25440730769527
2014-04-29,74.67802504533587
2014-04-30,97.13724875478971
2014-05-01,79.42605479886747
2014-05-02,88.66179561867541
2014-05-03,137.16369877993571
2014-05-04,88.43441530308358
2014-05-05,56.57733925506608
2014-05-06,50.24419406337444
2014-05-07,70.41516246173006
2014-05-08,50.93924016136181
2014-05-09,58.97807332081355
2014-05-10,106.88344850871215
2014-05-11,58.17808414311661
2014-05-12,26.97246279927696
2014-05-13,21.912211861484614
2014-05-14,43.95831468452222
2014-05-15,26.927834358815282
2014-05-16,37.938397748451116
2014-05-17,89.28660033165903
2014-05-18,44.42995863033257
2014-05-19,17.405124906418095
2014-05-20,16.77684121723503
2014-05-21,43.41988012806355
2014-05-22,31.06161560594765
2014-05-23,46.72843036345107
2014-05-24,102.62607690016313
2014-05-25,62.123574855572535
2014-05-26,39.17331532284273
2014-05-27,42.261806364463254
2014-05-28,72.19326635596198
2014-05-29,62.63367117081201
2014-05-30,80.55842801212448
2014-05-31,138.13376453559613
2014-06-01,98.70139282587738
2014-06-02,76.19910195225549
2014-06-03,79.11170294826474
2014-06-04,108.25452926204514
2014-06-05,97.3171020110517
2014-06-06,113.31050496668907
2014-06-07,168.44676487627555
2014-06-08,126.12343926542016
2014-06-09,100.34247447128841
2014-06-10,99.65960115501105
2014-06-11,124.96614613188149
2014-06-12,110.03091083258411
2014-06-13,121.9453425744347
2014-06-14,173.0021484289731
2014-06-15,126.6769786762423
2014-06-16,97.04590563512434
2014-06-17,92.73319665317271
2014-06-18,114.69166027747721
2014-06-19,96.74325008461972
2014-06-20,106.02318160698576
2014-06-21,154.8577357760267
2014-06-22,106.74539330566378
2014-06-23,75.77403661042241
2014-06-24,70.56872196798294
2014-06-25,92.07229791663305
2014-06-26,74.08654447574389
2014-06-27,83.71707214681996
2014-06-28,133.2521315032698
2014-06-29,86.14494962502285
2014-06-30,56.43229701612756
2014-07-01,52.68375081855101
2014-07-02,75.78389045233061
2014-07-03,59.47505847979514
2014-07-04,70.80388303335532
2014-07-05,122.00167026414775
2014-07-06,76.50796755429823
2014-07-07,48.27133535896128
2014-07-08,45.8190128955078
2014-07-09,70.00042858661595
2014-07-10,54.5307896966665
